closestGhost_East	closestGhost_North	closestGhost_South	closestGhost_Stop	closestGhost_West	foodCount_East	foodCount_North	foodCount_South	foodCount_Stop	foodCount_West	ghostDistance_0_East	ghostDistance_0_North	ghostDistance_0_South	ghostDistance_0_Stop	ghostDistance_0_West	ghostDistance_1_East	ghostDistance_1_North	ghostDistance_1_South	ghostDistance_1_Stop	ghostDistance_1_West	target
3	4	4	4	5	96	97	97	97	96	12	13	13	13	14	3	4	4	4	5	Stop
2	3	3	3	4	96	97	97	97	96	11	12	12	12	13	2	3	3	3	4	Stop
1	2	2	2	3	96	97	97	97	96	10	11	11	11	12	1	2	2	2	3	Stop
0	1	1	1	2	96	97	97	97	96	9	10	10	10	11	0	1	1	1	2	Stop
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	5	96	97	97	97	96	5	4	4	4	5	4	5	5	5	6	Stop
4	5	5	5	6	96	97	97	97	96	4	5	5	5	6	5	6	6	6	7	Stop
5	5	5	5	6	96	97	97	97	96	5	6	6	6	7	6	5	5	5	6	Stop
4	4	4	4	5	96	97	97	97	96	4	5	5	5	6	5	4	4	4	5	Stop
4	5	5	5	6	96	97	97	97	96	5	6	6	6	7	4	5	5	5	6	Stop
5	5	5	5	6	96	97	97	97	96	6	5	5	5	6	5	6	6	6	7	Stop
6	6	6	6	7	96	97	97	97	96	7	6	6	6	7	6	7	7	7	8	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	7	8	8	8	9	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	8	9	9	9	10	Stop
6	5	5	5	6	96	97	97	97	96	6	5	5	5	6	9	10	10	10	11	Stop
7	6	6	6	7	96	97	97	97	96	7	6	6	6	7	8	9	9	9	10	Stop
7	7	7	7	6	96	97	97	97	96	8	7	7	7	6	7	8	8	8	9	Stop
8	8	8	8	7	96	97	97	97	96	9	8	8	8	7	8	9	9	9	10	Stop
9	9	9	9	8	96	97	97	97	96	10	9	9	9	8	9	10	10	10	11	Stop
10	10	10	10	9	96	97	97	97	96	11	10	10	10	9	10	11	11	11	12	Stop
11	11	11	11	10	96	97	97	97	96	12	11	11	11	10	11	12	12	12	13	Stop
11	10	10	10	9	96	97	97	97	96	11	10	10	10	9	12	13	13	13	14	Stop
10	9	9	9	8	96	97	97	97	96	10	9	9	9	8	11	12	12	12	13	Stop
9	8	8	8	9	96	97	97	97	96	9	8	8	8	9	10	11	11	11	12	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	9	10	10	10	11	8	9	9	9	10	Stop
7	8	8	8	9	96	97	97	97	96	10	11	11	11	12	7	8	8	8	9	Stop
6	7	7	7	8	96	97	97	97	96	11	12	12	12	13	6	7	7	7	8	Stop
7	6	6	6	7	96	97	97	97	96	10	11	11	11	12	7	6	6	6	7	Stop
6	5	5	5	6	96	97	97	97	96	9	10	10	10	11	6	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	8	9	9	9	10	5	4	4	4	5	Stop
6	5	5	5	4	96	97	97	97	96	7	8	8	8	9	6	5	5	5	4	Stop
5	4	4	4	5	96	97	97	97	96	6	7	7	7	8	5	4	4	4	5	Stop
6	5	5	5	6	96	97	97	97	96	7	6	6	6	7	6	5	5	5	6	Stop
5	6	6	6	6	96	97	97	97	96	8	7	7	7	6	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	9	8	8	8	7	4	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	10	9	9	9	8	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	11	10	10	10	9	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	12	11	11	11	10	5	4	4	4	5	Stop
6	5	5	5	6	96	97	97	97	96	13	12	12	12	11	6	5	5	5	6	Stop
7	6	6	6	7	96	97	97	97	96	12	11	11	11	10	7	6	6	6	7	Stop
6	7	7	7	8	96	97	97	97	96	11	10	10	10	9	6	7	7	7	8	Stop
5	6	6	6	7	96	97	97	97	96	10	9	9	9	8	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	9	8	8	8	7	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	8	7	7	7	6	5	4	4	4	5	Stop
6	5	5	5	4	96	97	97	97	96	7	6	6	6	5	6	5	5	5	4	Stop
5	4	4	4	4	96	97	97	97	96	6	5	5	5	4	5	4	4	4	5	Stop
4	4	4	4	3	96	97	97	97	96	5	4	4	4	3	4	5	5	5	6	Stop
4	3	3	3	2	96	97	97	97	96	4	3	3	3	2	5	6	6	6	7	Stop
3	2	2	2	3	96	97	97	97	96	3	2	2	2	3	6	7	7	7	8	Stop
2	3	3	3	4	96	97	97	97	96	2	3	3	3	4	7	6	6	6	7	Stop
3	4	4	4	5	96	97	97	97	96	3	4	4	4	5	6	5	5	5	6	Stop
4	4	4	4	5	96	97	97	97	96	4	5	5	5	6	5	4	4	4	5	Stop
4	5	5	5	6	96	97	97	97	96	5	6	6	6	7	4	5	5	5	6	Stop
4	5	5	5	6	96	97	97	97	96	4	5	5	5	6	5	6	6	6	7	Stop
3	4	4	4	5	96	97	97	97	96	3	4	4	4	5	6	5	5	5	6	Stop
2	3	3	3	4	96	97	97	97	96	2	3	3	3	4	5	4	4	4	5	Stop
1	2	2	2	3	96	97	97	97	96	1	2	2	2	3	6	5	5	5	4	Stop
0	1	1	1	2	96	97	97	97	96	0	1	1	1	2	5	4	4	4	5	Stop
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	5	96	97	97	97	96	5	4	4	4	5	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	6	5	5	5	6	5	4	4	4	5	Stop
6	5	5	5	4	96	97	97	97	96	7	6	6	6	7	6	5	5	5	4	Stop
5	4	4	4	5	96	97	97	97	96	6	7	7	7	8	5	4	4	4	5	Stop
6	5	5	5	6	96	97	97	97	96	7	8	8	8	9	6	5	5	5	6	Stop
7	6	6	6	7	96	97	97	97	96	8	9	9	9	10	7	6	6	6	7	Stop
6	7	7	7	8	96	97	97	97	96	9	10	10	10	11	6	7	7	7	8	Stop
7	8	8	8	9	96	97	97	97	96	10	11	11	11	12	7	8	8	8	9	Stop
8	9	9	9	10	96	97	97	97	96	11	12	12	12	13	8	9	9	9	10	Stop
9	10	10	10	11	96	97	97	97	96	10	11	11	11	12	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	9	10	10	10	11	8	9	9	9	10	Stop
7	8	8	8	9	96	97	97	97	96	8	9	9	9	10	7	8	8	8	9	Stop
8	8	8	8	9	96	97	97	97	96	9	8	8	8	9	8	9	9	9	10	Stop
9	9	9	9	8	96	97	97	97	96	10	9	9	9	8	9	10	10	10	11	Stop
10	10	10	10	9	96	97	97	97	96	11	10	10	10	9	10	11	11	11	12	Stop
11	11	11	11	10	96	97	97	97	96	12	11	11	11	10	11	12	12	12	13	Stop
11	10	10	10	9	96	97	97	97	96	11	10	10	10	9	12	13	13	13	14	Stop
10	9	9	9	8	96	97	97	97	96	10	9	9	9	8	11	12	12	12	13	Stop
9	8	8	8	7	96	97	97	97	96	9	8	8	8	7	12	13	13	13	14	Stop
8	7	7	7	6	96	97	97	97	96	8	7	7	7	6	13	14	14	14	15	Stop
7	6	6	6	5	96	97	97	97	96	7	6	6	6	5	14	15	15	15	16	Stop
6	5	5	5	4	96	97	97	97	96	6	5	5	5	4	15	16	16	16	17	Stop
5	4	4	4	3	96	97	97	97	96	5	4	4	4	3	16	17	17	17	18	Stop
4	3	3	3	2	96	97	97	97	96	4	3	3	3	2	15	16	16	16	17	Stop
3	2	2	2	3	96	97	97	97	96	3	2	2	2	3	14	15	15	15	16	Stop
2	3	3	3	4	96	97	97	97	96	2	3	3	3	4	13	14	14	14	15	Stop
3	4	4	4	5	96	97	97	97	96	3	4	4	4	5	12	13	13	13	14	Stop
4	5	5	5	6	96	97	97	97	96	4	5	5	5	6	11	12	12	12	13	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	10	11	11	11	12	Stop
4	5	5	5	6	96	97	97	97	96	4	5	5	5	6	9	10	10	10	11	Stop
3	4	4	4	5	96	97	97	97	96	3	4	4	4	5	8	9	9	9	10	Stop
2	3	3	3	4	96	97	97	97	96	2	3	3	3	4	7	8	8	8	9	Stop
1	2	2	2	3	96	97	97	97	96	1	2	2	2	3	6	7	7	7	8	Stop
0	1	1	1	2	96	97	97	97	96	0	1	1	1	2	5	6	6	6	7	Stop
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	5	96	97	97	97	96	5	4	4	4	5	4	5	5	5	6	Stop
4	4	4	4	5	96	97	97	97	96	4	5	5	5	6	5	4	4	4	5	Stop
5	5	5	5	4	96	97	97	97	96	5	6	6	6	7	6	5	5	5	4	Stop
5	4	4	4	5	96	97	97	97	96	6	7	7	7	8	5	4	4	4	5	Stop
4	5	5	5	6	96	97	97	97	96	7	6	6	6	7	4	5	5	5	6	Stop
5	6	6	6	6	96	97	97	97	96	8	7	7	7	6	5	6	6	6	7	Stop
6	5	5	5	6	96	97	97	97	96	9	8	8	8	7	6	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	10	9	9	9	8	5	4	4	4	5	Stop
4	5	5	5	6	96	97	97	97	96	11	10	10	10	9	4	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	12	11	11	11	10	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	11	10	10	10	9	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	10	9	9	9	8	5	4	4	4	5	Stop
6	5	5	5	6	96	97	97	97	96	9	8	8	8	9	6	5	5	5	6	Stop
7	6	6	6	7	96	97	97	97	96	8	9	9	9	10	7	6	6	6	7	Stop
8	7	7	7	6	96	97	97	97	96	9	10	10	10	11	8	7	7	7	6	Stop
9	8	8	8	7	96	97	97	97	96	10	11	11	11	12	9	8	8	8	7	Stop
10	9	9	9	8	96	97	97	97	96	11	12	12	12	13	10	9	9	9	8	Stop
9	8	8	8	7	96	97	97	97	96	10	11	11	11	12	9	8	8	8	7	Stop
8	7	7	7	6	96	97	97	97	96	9	10	10	10	11	8	7	7	7	6	Stop
8	8	8	8	7	96	97	97	97	96	8	9	9	9	10	9	8	8	8	7	Stop
7	8	8	8	8	96	97	97	97	96	7	8	8	8	9	10	9	9	9	8	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	10	10	10	9	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	12	11	11	11	10	Stop
4	5	5	5	6	96	97	97	97	96	4	5	5	5	6	13	12	12	12	11	Stop
3	4	4	4	5	96	97	97	97	96	3	4	4	4	5	12	11	11	11	10	Stop
2	3	3	3	4	96	97	97	97	96	2	3	3	3	4	11	10	10	10	9	Stop
3	2	2	2	3	96	97	97	97	96	3	2	2	2	3	10	9	9	9	8	Stop
4	3	3	3	2	96	97	97	97	96	4	3	3	3	2	9	8	8	8	7	Stop
5	4	4	4	3	96	97	97	97	96	5	4	4	4	3	8	7	7	7	6	Stop
6	5	5	5	4	96	97	97	97	96	6	5	5	5	4	7	6	6	6	5	Stop
5	4	4	4	3	96	97	97	97	96	5	4	4	4	3	6	5	5	5	4	Stop
4	3	3	3	2	96	97	97	97	96	4	3	3	3	2	7	6	6	6	5	Stop
3	2	2	2	1	96	97	97	97	96	3	2	2	2	1	8	7	7	7	6	Stop
2	1	1	1	0	96	97	97	97	96	2	1	1	1	0	9	8	8	8	7	Stop
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	5	96	97	97	97	96	5	4	4	4	5	4	5	5	5	6	Stop
4	5	5	5	6	96	97	97	97	96	4	5	5	5	6	5	6	6	6	7	Stop
5	5	5	5	6	96	97	97	97	96	5	6	6	6	7	6	5	5	5	6	Stop
6	6	6	6	7	96	97	97	97	96	6	7	7	7	8	7	6	6	6	7	Stop
6	7	7	7	8	96	97	97	97	96	7	8	8	8	9	6	7	7	7	8	Stop
7	8	8	8	9	96	97	97	97	96	8	9	9	9	10	7	8	8	8	9	Stop
8	9	9	9	10	96	97	97	97	96	9	10	10	10	11	8	9	9	9	10	Stop
9	10	10	10	11	96	97	97	97	96	10	11	11	11	12	9	10	10	10	11	Stop
10	11	11	11	12	96	97	97	97	96	11	12	12	12	13	10	11	11	11	12	Stop
11	12	12	12	13	96	97	97	97	96	12	13	13	13	14	11	12	12	12	13	Stop
11	12	12	12	13	96	97	97	97	96	11	12	12	12	13	12	13	13	13	14	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	13	14	14	14	15	Stop
11	12	12	12	13	96	97	97	97	96	11	12	12	12	13	14	15	15	15	16	Stop
12	13	13	13	14	96	97	97	97	96	12	13	13	13	14	15	16	16	16	17	Stop
13	14	14	14	15	96	97	97	97	96	13	14	14	14	15	16	17	17	17	18	Stop
14	15	15	15	16	96	97	97	97	96	14	15	15	15	16	15	16	16	16	17	Stop
14	15	15	15	16	96	97	97	97	96	15	16	16	16	17	14	15	15	15	16	Stop
13	14	14	14	15	96	97	97	97	96	16	17	17	17	18	13	14	14	14	15	Stop
12	13	13	13	14	96	97	97	97	96	15	16	16	16	17	12	13	13	13	14	Stop
11	12	12	12	13	96	97	97	97	96	14	15	15	15	16	11	12	12	12	13	Stop
10	11	11	11	12	96	97	97	97	96	13	14	14	14	15	10	11	11	11	12	Stop
9	10	10	10	11	96	97	97	97	96	12	13	13	13	14	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	11	12	12	12	13	8	9	9	9	10	Stop
7	8	8	8	9	96	97	97	97	96	10	11	11	11	12	7	8	8	8	9	Stop
6	7	7	7	8	96	97	97	97	96	9	10	10	10	11	6	7	7	7	8	Stop
5	6	6	6	7	96	97	97	97	96	8	9	9	9	10	5	6	6	6	7	Stop
6	7	7	7	8	96	97	97	97	96	7	8	8	8	9	6	7	7	7	8	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	7	8	8	8	9	Stop
7	6	6	6	7	96	97	97	97	96	7	6	6	6	7	8	9	9	9	10	Stop
8	7	7	7	6	96	97	97	97	96	8	7	7	7	6	9	10	10	10	11	Stop
9	8	8	8	7	96	97	97	97	96	9	8	8	8	7	10	11	11	11	12	Stop
10	9	9	9	8	96	97	97	97	96	10	9	9	9	8	11	12	12	12	13	Stop
11	10	10	10	9	96	97	97	97	96	11	10	10	10	9	12	13	13	13	14	Stop
11	11	11	11	10	96	97	97	97	96	12	11	11	11	10	11	12	12	12	13	Stop
10	10	10	10	9	96	97	97	97	96	11	10	10	10	9	10	11	11	11	12	Stop
10	9	9	9	8	96	97	97	97	96	10	9	9	9	8	11	12	12	12	13	Stop
9	8	8	8	9	96	97	97	97	96	9	8	8	8	9	12	13	13	13	14	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	11	12	12	12	13	Stop
9	10	10	10	11	96	97	97	97	96	9	10	10	10	11	12	13	13	13	14	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	13	14	14	14	15	Stop
11	12	12	12	13	96	97	97	97	96	11	12	12	12	13	14	15	15	15	16	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	15	16	16	16	17	Stop
9	10	10	10	11	96	97	97	97	96	9	10	10	10	11	16	17	17	17	18	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	15	16	16	16	17	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	14	15	15	15	16	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	13	14	14	14	15	Stop
9	10	10	10	11	96	97	97	97	96	9	10	10	10	11	12	13	13	13	14	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	11	12	12	12	13	Stop
10	11	11	11	12	96	97	97	97	96	11	12	12	12	13	10	11	11	11	12	Stop
9	10	10	10	11	96	97	97	97	96	12	13	13	13	14	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	11	12	12	12	13	8	9	9	9	10	Stop
7	8	8	8	9	96	97	97	97	96	12	13	13	13	14	7	8	8	8	9	Stop
6	7	7	7	8	96	97	97	97	96	13	14	14	14	15	6	7	7	7	8	Stop
5	6	6	6	7	96	97	97	97	96	14	15	15	15	16	5	6	6	6	7	Stop
6	7	7	7	8	96	97	97	97	96	15	16	16	16	17	6	7	7	7	8	Stop
7	8	8	8	9	96	97	97	97	96	16	17	17	17	18	7	8	8	8	9	Stop
8	9	9	9	10	96	97	97	97	96	15	16	16	16	17	8	9	9	9	10	Stop
9	10	10	10	11	96	97	97	97	96	14	15	15	15	16	9	10	10	10	11	Stop
10	11	11	11	12	96	97	97	97	96	13	14	14	14	15	10	11	11	11	12	Stop
11	12	12	12	13	96	97	97	97	96	12	13	13	13	14	11	12	12	12	13	Stop
11	12	12	12	13	96	97	97	97	96	11	12	12	12	13	12	13	13	13	14	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	13	14	14	14	15	Stop
9	10	10	10	11	96	97	97	97	96	9	10	10	10	11	14	15	15	15	16	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	15	16	16	16	17	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	16	17	17	17	18	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	15	16	16	16	17	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	14	15	15	15	16	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	13	14	14	14	15	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	12	13	13	13	14	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	12	12	12	13	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	12	13	13	13	14	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	12	12	12	13	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	10	11	11	11	12	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	9	10	10	10	11	8	9	9	9	10	Stop
7	8	8	8	9	96	97	97	97	96	10	11	11	11	12	7	8	8	8	9	Stop
6	7	7	7	8	96	97	97	97	96	9	10	10	10	11	6	7	7	7	8	Stop
5	6	6	6	7	96	97	97	97	96	8	9	9	9	10	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	7	8	8	8	9	4	5	5	5	6	Stop
3	4	4	4	5	96	97	97	97	96	6	7	7	7	8	3	4	4	4	5	Stop
2	3	3	3	4	96	97	97	97	96	5	6	6	6	7	2	3	3	3	4	Stop
3	2	2	2	3	96	97	97	97	96	6	7	7	7	8	3	2	2	2	3	Stop
4	3	3	3	2	96	97	97	97	96	7	8	8	8	9	4	3	3	3	2	Stop
5	4	4	4	3	96	97	97	97	96	8	9	9	9	10	5	4	4	4	3	Stop
6	5	5	5	4	96	97	97	97	96	9	10	10	10	11	6	5	5	5	4	Stop
5	4	4	4	3	96	97	97	97	96	10	11	11	11	12	5	4	4	4	3	Stop
4	3	3	3	2	96	97	97	97	96	11	12	12	12	13	4	3	3	3	2	Stop
3	2	2	2	1	96	97	97	97	96	12	13	13	13	14	3	2	2	2	1	Stop
2	1	1	1	0	96	97	97	97	96	13	14	14	14	15	2	1	1	1	0	Stop
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	5	96	97	97	97	96	5	4	4	4	5	4	5	5	5	6	Stop
4	4	4	4	5	96	97	97	97	96	4	5	5	5	6	5	4	4	4	5	Stop
5	5	5	5	4	96	97	97	97	96	5	6	6	6	7	6	5	5	5	4	Stop
4	4	4	4	5	96	97	97	97	96	4	5	5	5	6	5	4	4	4	5	Stop
5	5	5	5	6	96	97	97	97	96	5	6	6	6	7	6	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	6	7	7	7	8	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	7	6	6	6	7	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	6	5	5	5	6	5	4	4	4	5	Stop
5	4	4	4	5	96	97	97	97	96	5	4	4	4	5	6	5	5	5	6	Stop
4	5	5	5	6	96	97	97	97	96	4	5	5	5	6	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	5	6	6	6	7	4	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	6	7	7	7	8	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	7	8	8	8	9	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	8	9	9	9	10	5	4	4	4	5	Stop
6	5	5	5	4	96	97	97	97	96	9	10	10	10	11	6	5	5	5	4	Stop
5	4	4	4	5	96	97	97	97	96	8	9	9	9	10	5	4	4	4	5	Stop
6	5	5	5	6	96	97	97	97	96	7	8	8	8	9	6	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	6	7	7	7	8	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	5	6	6	6	7	4	5	5	5	6	Stop
4	4	4	4	5	96	97	97	97	96	4	5	5	5	6	5	4	4	4	5	Stop
3	4	4	4	5	96	97	97	97	96	3	4	4	4	5	6	5	5	5	6	Stop
2	3	3	3	4	96	97	97	97	96	2	3	3	3	4	7	6	6	6	7	Stop
3	2	2	2	3	96	97	97	97	96	3	2	2	2	3	6	7	7	7	8	Stop
4	3	3	3	2	96	97	97	97	96	4	3	3	3	2	5	6	6	6	7	Stop
4	4	4	4	3	96	97	97	97	96	5	4	4	4	3	4	5	5	5	6	Stop
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	3	96	97	97	97	96	5	4	4	4	3	4	5	5	5	6	Stop
4	3	3	3	2	96	97	97	97	96	4	3	3	3	2	5	4	4	4	5	Stop
3	2	2	2	1	96	97	97	97	96	3	2	2	2	1	6	5	5	5	4	Stop
2	1	1	1	0	96	97	97	97	96	2	1	1	1	0	5	4	4	4	5	Stop
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	5	96	97	97	97	96	5	4	4	4	5	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	6	5	5	5	6	5	4	4	4	5	Stop
5	5	5	5	4	96	97	97	97	96	5	6	6	6	7	6	5	5	5	4	Stop
5	4	4	4	5	96	97	97	97	96	6	7	7	7	8	5	4	4	4	5	Stop
4	5	5	5	6	96	97	97	97	96	7	8	8	8	9	4	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	8	9	9	9	10	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	9	10	10	10	11	4	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	10	11	11	11	12	5	6	6	6	7	Stop
6	7	7	7	8	96	97	97	97	96	11	12	12	12	13	6	7	7	7	8	Stop
7	6	6	6	7	96	97	97	97	96	12	13	13	13	14	7	6	6	6	7	Stop
8	7	7	7	6	96	97	97	97	96	11	12	12	12	13	8	7	7	7	6	Stop
9	8	8	8	7	96	97	97	97	96	10	11	11	11	12	9	8	8	8	7	Stop
9	9	9	9	8	96	97	97	97	96	9	10	10	10	11	10	9	9	9	8	Stop
8	8	8	8	7	96	97	97	97	96	8	9	9	9	10	9	8	8	8	7	Stop
7	7	7	7	6	96	97	97	97	96	7	8	8	8	9	8	7	7	7	6	Stop
6	7	7	7	7	96	97	97	97	96	6	7	7	7	8	9	8	8	8	7	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	10	9	9	9	8	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	10	10	10	9	Stop
7	8	8	8	8	96	97	97	97	96	7	8	8	8	9	10	9	9	9	8	Stop
8	8	8	8	7	96	97	97	97	96	8	9	9	9	10	9	8	8	8	7	Stop
8	7	7	7	6	96	97	97	97	96	9	10	10	10	11	8	7	7	7	6	Stop
7	6	6	6	5	96	97	97	97	96	10	11	11	11	12	7	6	6	6	5	Stop
6	5	5	5	4	96	97	97	97	96	11	12	12	12	13	6	5	5	5	4	Stop
7	6	6	6	5	96	97	97	97	96	12	13	13	13	14	7	6	6	6	5	Stop
8	7	7	7	6	96	97	97	97	96	13	14	14	14	15	8	7	7	7	6	Stop
9	8	8	8	7	96	97	97	97	96	14	15	15	15	16	9	8	8	8	7	Stop
10	9	9	9	8	96	97	97	97	96	15	16	16	16	17	10	9	9	9	8	Stop
11	10	10	10	9	96	97	97	97	96	16	17	17	17	18	11	10	10	10	9	Stop
12	11	11	11	10	96	97	97	97	96	15	16	16	16	17	12	11	11	11	10	Stop
11	10	10	10	9	96	97	97	97	96	14	15	15	15	16	11	10	10	10	9	Stop
10	9	9	9	8	96	97	97	97	96	13	14	14	14	15	10	9	9	9	8	Stop
9	8	8	8	9	96	97	97	97	96	12	13	13	13	14	9	8	8	8	9	Stop
8	9	9	9	10	96	97	97	97	96	11	12	12	12	13	8	9	9	9	10	Stop
9	10	10	10	11	96	97	97	97	96	12	13	13	13	14	9	10	10	10	11	Stop
10	11	11	11	12	96	97	97	97	96	11	12	12	12	13	10	11	11	11	12	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	11	12	12	12	13	Stop
10	11	11	11	12	96	97	97	97	96	11	12	12	12	13	10	11	11	11	12	Stop
9	10	10	10	11	96	97	97	97	96	12	13	13	13	14	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	11	12	12	12	13	8	9	9	9	10	Stop
7	8	8	8	9	96	97	97	97	96	10	11	11	11	12	7	8	8	8	9	Stop
8	9	9	9	10	96	97	97	97	96	9	10	10	10	11	8	9	9	9	10	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	9	10	10	10	11	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	10	11	11	11	12	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	12	12	12	13	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	12	13	13	13	14	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	12	12	12	13	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	10	11	11	11	12	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	9	10	10	10	11	Stop
9	10	10	10	11	96	97	97	97	96	9	10	10	10	11	10	11	11	11	12	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	11	12	12	12	13	Stop
10	11	11	11	12	96	97	97	97	96	11	12	12	12	13	10	11	11	11	12	Stop
9	10	10	10	11	96	97	97	97	96	12	13	13	13	14	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	11	12	12	12	13	8	9	9	9	10	Stop
9	8	8	8	9	96	97	97	97	96	10	11	11	11	12	9	8	8	8	9	Stop
9	9	9	9	8	96	97	97	97	96	9	10	10	10	11	10	9	9	9	8	Stop
8	9	9	9	9	96	97	97	97	96	8	9	9	9	10	11	10	10	10	9	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	12	11	11	11	10	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	10	10	10	9	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	10	9	9	9	8	Stop
6	7	7	7	7	96	97	97	97	96	6	7	7	7	8	9	8	8	8	7	Stop
7	7	7	7	6	96	97	97	97	96	7	8	8	8	9	8	7	7	7	6	Stop
8	8	8	8	7	96	97	97	97	96	8	9	9	9	10	9	8	8	8	7	Stop
